"Genus","col_WMS","col_16S","Group","Color"
"Abiotrophia",0.00176258423773295,0.0006717700067177,"s11_1","shared"
"Acetatifactor",0,0.0012143400121434,"s11_1","16S only"
"Actinomyces",0.00120577613964885,0.0006200900062009,"s11_1","shared"
"Aggregatibacter",0.0107768394567708,0.0148563501485635,"s11_1","shared"
"Akkermansia",0,0.0002583700025837,"s11_1","16S only"
"Alistipes",0,5.16700005167e-05,"s11_1","16S only"
"Allisonella",0.000272631393241618,0.000697600006976,"s11_1","shared"
"Alloprevotella",0.00487546355945198,0,"s11_1","WMS only"
"AM07-15",0,0.0001291900012919,"s11_1","16S only"
"Aminipila",0,0.0004392300043923,"s11_1","16S only"
"Aminivibrio",0,0.0014210400142104,"s11_1","16S only"
"Anaeroglobus",8.06146318797651e-05,0.0001033500010335,"s11_1","shared"
"Anaeromassilibacillus",0,5.16700005167e-05,"s11_1","16S only"
"Anaerosacchariphilus",0,0.0002325300023253,"s11_1","16S only"
"Anaerotignum",0,0.0004909100049091,"s11_1","16S only"
"Arachnia",0.000542528370577766,0,"s11_1","WMS only"
"Bact-08",0,7.75100007751e-05,"s11_1","16S only"
"Bacteroides",0,0.0003617200036172,"s11_1","16S only"
"Bacteroides_D",0.000383223325418381,0,"s11_1","WMS only"
"Bariatricus",0,0.0010076500100765,"s11_1","16S only"
"Bergeyella_A",8.54758157117107e-05,0.0002325300023253,"s11_1","shared"
"Blautia_A",0,0.0007234400072344,"s11_1","16S only"
"Bulleidia",0.000202448051667903,0.000206700002067,"s11_1","shared"
"Butyricicoccus_A",0,0.0011626700116267,"s11_1","16S only"
"CAG-1024",0,0.0001808600018086,"s11_1","16S only"
"CAG-115",0,0.0001291900012919,"s11_1","16S only"
"CAG-41",0,7.75100007751e-05,"s11_1","16S only"
"CAG-475",0,0.0003100500031005,"s11_1","16S only"
"CAG-488",0,0.0001291900012919,"s11_1","16S only"
"CAG-793",7.03858909000462e-05,0,"s11_1","WMS only"
"CAJPNX01",6.88667709525632e-05,0,"s11_1","WMS only"
"CAJPPJ01",0.000130745590146704,0,"s11_1","WMS only"
"CAJPSE01",0.000273340315883776,0,"s11_1","WMS only"
"Campylobacter_A",0.00292764796278926,0.0062009100620091,"s11_1","shared"
"Campylobacter_B",0.00141349047380136,0,"s11_1","WMS only"
"Capnocytophaga",0.0105273999613941,0.0075702800757028,"s11_1","shared"
"Cardiobacterium",0.00104110353734169,0.0020669700206697,"s11_1","shared"
"Catonella",0.000109275361555611,0,"s11_1","WMS only"
"Centipeda",0,0.0012143400121434,"s11_1","16S only"
"Clostridium",0,0.0016535800165358,"s11_1","16S only"
"Clostridium_AN",0,0.0004650700046507,"s11_1","16S only"
"Corynebacterium",0.00146149466414182,0.0014210400142104,"s11_1","shared"
"Cryptobacteroides",0.000235666141186198,0,"s11_1","WMS only"
"Cutibacterium",2.06600312857689e-05,0,"s11_1","WMS only"
"Desulfobulbus",3.59525054237646e-05,0.0001291900012919,"s11_1","shared"
"Desulfomicrobium",0,7.75100007751e-05,"s11_1","16S only"
"Dialister",0.000315369301097473,0.0015243900152439,"s11_1","shared"
"Eikenella",0.000256427447135132,0.0027387400273874,"s11_1","shared"
"Emergencia",0,0.0004909100049091,"s11_1","16S only"
"Erysipelatoclostridium",0,5.16700005167e-05,"s11_1","16S only"
"Eubacterium_A",0,0.0009818100098181,"s11_1","16S only"
"Eubacterium_B",0.000144012571021389,0.0004133900041339,"s11_1","shared"
"Eubacterium_M",0.00140964203660107,0.0002325300023253,"s11_1","shared"
"Eubacterium_N",0.00746920895778447,0.0028420800284208,"s11_1","shared"
"Eubacterium_R",0,0.0074927700749277,"s11_1","16S only"
"F0040",0,0.0123501401235014,"s11_1","16S only"
"F0058",0.0011683045142776,0.0012401800124018,"s11_1","shared"
"F0422",0.000804019550871175,0.0015243900152439,"s11_1","shared"
"F0428",7.39305041108399e-06,0,"s11_1","WMS only"
"Faecalibacterium",0,0.0016794100167941,"s11_1","16S only"
"Filifactor",0.00401989520502954,0,"s11_1","WMS only"
"Fournierella",0,0.0001033500010335,"s11_1","16S only"
"Fretibacterium",0.000171356730076084,0,"s11_1","WMS only"
"Fusobacterium",0.0112334869129842,0.043432200434322,"s11_1","shared"
"Gemella",0.0194580023086572,0.0193003301930033,"s11_1","shared"
"GN02-872",0.000254604503198153,0,"s11_1","WMS only"
"GN02-873",0.00409007854660326,0.0007234400072344,"s11_1","shared"
"Granulicatella",0.0142256468362099,0.0107224101072241,"s11_1","shared"
"Haemophilus",0.0132197868816498,0.0085262500852625,"s11_1","shared"
"Haemophilus_A",0.0145695755923201,0.0074669300746693,"s11_1","shared"
"Haemophilus_D",0.0396991615875735,0.0191969801919698,"s11_1","shared"
"Holdemanella",0,0.0004392300043923,"s11_1","16S only"
"HOT-345",0.00279994061253752,0.0002325300023253,"s11_1","shared"
"JABCPE02",0.00408805305333995,0,"s11_1","WMS only"
"JABCPO02",0.000267972758736003,0,"s11_1","WMS only"
"Johnsonella",0.000303216341517609,0.0003100500031005,"s11_1","shared"
"Kingella",0.000317394794360784,0,"s11_1","WMS only"
"Kingella_A",0.00192320585351349,0,"s11_1","WMS only"
"Kingella_B",1.72166927381408e-06,0.0004650700046507,"s11_1","shared"
"Lachnoanaerobaculum",8.26401251430758e-05,0.0010076500100765,"s11_1","shared"
"Lachnospira",0,5.16700005167e-05,"s11_1","16S only"
"Lacrimispora",0,0.0004650700046507,"s11_1","16S only"
"Lactobacillus",0,0.0087329500873295,"s11_1","16S only"
"Lancefieldella",5.99546005939962e-05,0.0002842100028421,"s11_1","shared"
"Lautropia",0.00837288277721053,0,"s11_1","WMS only"
"Lawsonibacter",0,0.0002583700025837,"s11_1","16S only"
"Leptotrichia",0.00159639251547831,0.0092755300927553,"s11_1","shared"
"Leptotrichia_A",0.000702035965063482,0.001395200013952,"s11_1","shared"
"Limosilactobacillus",0,0.0006200900062009,"s11_1","16S only"
"Megasphaera",0,0.0003617200036172,"s11_1","16S only"
"Mesocricetibacter",0.000525919325818618,0,"s11_1","WMS only"
"Mesomycoplasma",0,0.0001033500010335,"s11_1","16S only"
"Metamycoplasma",0.00916312897389119,0.0009559700095597,"s11_1","shared"
"Mogibacterium",0.000210651299384311,0.0002842100028421,"s11_1","shared"
"Moraxella",0.0166348697982548,0.0190161201901612,"s11_1","shared"
"Moraxella_A",0,0.0002583700025837,"s11_1","16S only"
"Muricomes",0,0.0005684200056842,"s11_1","16S only"
"Nanogingivalis",0.00162616726644898,0,"s11_1","WMS only"
"Nanoperiomorbus",0.000440240960780577,0,"s11_1","WMS only"
"Nanosynbacter",0.000222601709637844,0,"s11_1","WMS only"
"Neisseria",0.529783258042373,0.379676523796765,"s11_1","shared"
"Novosphingobium",0,5.16700005167e-05,"s11_1","16S only"
"NSJ-50",0,0.0001291900012919,"s11_1","16S only"
"Oribacterium",6.34992138047899e-05,0.0022478300224783,"s11_1","shared"
"Oscillibacter",0,0.0004392300043923,"s11_1","16S only"
"Ottowia",0.0005424270959146,0.00111100001111,"s11_1","shared"
"Parabacteroides",0,0.0003100500031005,"s11_1","16S only"
"Paracoccus",0,0.0001291900012919,"s11_1","16S only"
"Paraeggerthella",0,0.0001550200015502,"s11_1","16S only"
"Paraprevotella",0,0.0012401800124018,"s11_1","16S only"
"Parvimonas",0.000393654615724431,0.0008267900082679,"s11_1","shared"
"Pauljensenia",0.000308280074675886,0.0007751100077511,"s11_1","shared"
"Peptidiphaga",0.000133581280715339,0,"s11_1","WMS only"
"Peptoanaerobacter",6.81578483104044e-05,0.0004392300043923,"s11_1","shared"
"Peptostreptococcus",0.000380590184176077,0.0008526300085263,"s11_1","shared"
"Phascolarctobacterium_A",0,0.0014210400142104,"s11_1","16S only"
"Phocaeicola",1.48873754853335e-05,0.0001291900012919,"s11_1","shared"
"Porphyromonas",0.0410145169127675,0.0570483705704837,"s11_1","shared"
"Prevotella",0.0238227377417654,0.0891380708913807,"s11_1","shared"
"Prevotellamassilia",0,0.0026870600268706,"s11_1","16S only"
"Pseudoleptotrichia",0.000115554390671874,0.0017052500170525,"s11_1","shared"
"RC9",0,0.0015760600157606,"s11_1","16S only"
"RF16",0,0.0004133900041339,"s11_1","16S only"
"Rodentibacter",0,0.0003358800033588,"s11_1","16S only"
"Romboutsia",0,0.0003875600038756,"s11_1","16S only"
"Roseburia",0,0.0035655200356552,"s11_1","16S only"
"Rothia",0.0537959870522369,0.0442073204420732,"s11_1","shared"
"RQZE01",0,0.000206700002067,"s11_1","16S only"
"RUG13077",0,0.0003617200036172,"s11_1","16S only"
"RUG13160",0,0.0001291900012919,"s11_1","16S only"
"Ruminococcus_A",0,0.0006200900062009,"s11_1","16S only"
"Ruminococcus_C",0,0.0001291900012919,"s11_1","16S only"
"Ruminococcus_E",0,0.0010593200105932,"s11_1","16S only"
"S5-A14a",0,0.0001033500010335,"s11_1","16S only"
"Saccharimonas",0.0006646656143554,0,"s11_1","WMS only"
"Schwartzia",0,0.0001808600018086,"s11_1","16S only"
"SDRW01",0.000313647631823659,0,"s11_1","WMS only"
"Selenomonas",6.80565736472389e-05,0.0004133900041339,"s11_1","shared"
"Shuttleworthia",5.50934167620505e-05,0,"s11_1","WMS only"
"Simonsiella",8.27413998062413e-05,0.0001550200015502,"s11_1","shared"
"SoCistrobi",0,7.75100007751e-05,"s11_1","16S only"
"Sphingomonas",0,5.16700005167e-05,"s11_1","16S only"
"Streptobacillus",0,0.0013693700136937,"s11_1","16S only"
"Streptococcus",0.120422765004905,0.14546300145463,"s11_1","shared"
"Tannerella",0.00247201325320752,0.0030746200307462,"s11_1","shared"
"Terrisporobacter",0,0.0015243900152439,"s11_1","16S only"
"Thermoanaerosceptrum",0,7.75100007751e-05,"s11_1","16S only"
"TM7x",0,0.0014210400142104,"s11_1","16S only"
"Treponema",0.000817792905061688,0.0015760600157606,"s11_1","shared"
"Treponema_B",0.000381096557491905,0.0022219900222199,"s11_1","shared"
"Treponema_C",0.000370158893870027,0.0005684200056842,"s11_1","shared"
"Treponema_D",0.000457964026834545,0.0012918600129186,"s11_1","shared"
"UBA1394",0,0.0003358800033588,"s11_1","16S only"
"UBA1417",0,0.0002583700025837,"s11_1","16S only"
"UBA2730",0,0.0001033500010335,"s11_1","16S only"
"UBA4372",0,0.0020669700206697,"s11_1","16S only"
"UBA5446",0,0.0004392300043923,"s11_1","16S only"
"UBA6382",0,7.75100007751e-05,"s11_1","16S only"
"UBA7173",0,0.0004392300043923,"s11_1","16S only"
"UBA8529",0,0.0009559700095597,"s11_1","16S only"
"UMGS363",0,0.0005942500059425,"s11_1","16S only"
"Vallitalea_A",0,0.0010593200105932,"s11_1","16S only"
"Veillonella",0.00254594375731836,0.0055033100550331,"s11_1","shared"
"W11650",0.000552352012904823,0,"s11_1","WMS only"
"W5053",0,0.0003358800033588,"s11_1","16S only"
"Acetatifactor",0,0.0027990200559804,"s11_11","16S only"
"Acidaminococcus",0,0.000582350011647,"s11_11","16S only"
"Actinomyces",0.00717389856522029,0.002047600040952,"s11_11","shared"
"Actinomycetospora",0,7.51400015028e-05,"s11_11","16S only"
"Acutalibacter",0,0.0001127100022542,"s11_11","16S only"
"Adlercreutzia",0,0.0001127100022542,"s11_11","16S only"
"Agathobaculum",0,0.0007326300146526,"s11_11","16S only"
"Aggregatibacter",0.0301616939676612,0.0168880203377604,"s11_11","shared"
"Alistipes",0,0.0029868700597374,"s11_11","16S only"
"Alistipes_A",0,0.0004132800082656,"s11_11","16S only"
"Allisonella",1.54999969000006e-05,0.000187850003757,"s11_11","shared"
"Alloprevotella",0.00849589830082034,0,"s11_11","WMS only"
"AM07-15",0,0.000187850003757,"s11_11","16S only"
"Amedibacterium",0,0.0003757100075142,"s11_11","16S only"
"Aminipila",0,0.0009768400195368,"s11_11","16S only"
"Aminivibrio",0,0.0017658200353164,"s11_11","16S only"
"Anaerobutyricum",0,0.003080800061616,"s11_11","16S only"
"Anaeroglobus",0.000144899971020006,9.39300018786e-05,"s11_11","shared"
"Anaeromassilibacillus",0,0.0002066400041328,"s11_11","16S only"
"Anaerosacchariphilus",0,0.004414550088291,"s11_11","16S only"
"Anaerostipes",0,0.0011646900232938,"s11_11","16S only"
"Anaerotignum",0,0.0035692100713842,"s11_11","16S only"
"Anaerotruncus",0,0.0002817800056356,"s11_11","16S only"
"Ancrocorticia",0,0.0003569200071384,"s11_11","16S only"
"Arachnia",0.00116659976668005,0,"s11_11","WMS only"
"Aureimonas_A",0,0.000507200010144,"s11_11","16S only"
"Bacteroides",0,0.0271823905436478,"s11_11","16S only"
"Bacteroides_D",0.00191759961648008,0,"s11_11","WMS only"
"Bariatricus",0,0.0018973200379464,"s11_11","16S only"
"Barnesiella",0,0.0014652600293052,"s11_11","16S only"
"Bergeyella_A",0.000733899853220029,0,"s11_11","WMS only"
"Bifidobacterium",0,0.0078710601574212,"s11_11","16S only"
"Blautia",0,0.0023293800465876,"s11_11","16S only"
"Blautia_A",0,0.0210020104200402,"s11_11","16S only"
"Bulleidia",0.000537299892540022,0.0004884200097684,"s11_11","shared"
"Butyricicoccus_A",0,0.0034940700698814,"s11_11","16S only"
"Butyricimonas",0,0.000826550016531,"s11_11","16S only"
"BX7",0,0.00013150000263,"s11_11","16S only"
"CAG-1000",0,0.0011083400221668,"s11_11","16S only"
"CAG-1024",0,0.000450850009017,"s11_11","16S only"
"CAG-110",0,0.0009392700187854,"s11_11","16S only"
"CAG-115",0,0.0023481700469634,"s11_11","16S only"
"CAG-127",0,0.0021415300428306,"s11_11","16S only"
"CAG-180",0,0.0011834800236696,"s11_11","16S only"
"CAG-279",0,0.0002066400041328,"s11_11","16S only"
"CAG-302",0,0.000319350006387,"s11_11","16S only"
"CAG-41",0,0.0005635600112712,"s11_11","16S only"
"CAG-417",0,0.0010707600214152,"s11_11","16S only"
"CAG-475",0,0.000638700012774,"s11_11","16S only"
"CAG-485",0,5.63600011272e-05,"s11_11","16S only"
"CAG-488",0,0.0001127100022542,"s11_11","16S only"
"CAG-521",0,0.0011083400221668,"s11_11","16S only"
"CAG-81",0,0.0002254200045084,"s11_11","16S only"
"CAG-873",0,5.63600011272e-05,"s11_11","16S only"
"CAJPSE01",0.000933899813220037,0,"s11_11","WMS only"
"Campylobacter_A",0.00264549947090011,0.0031559400631188,"s11_11","shared"
"Campylobacter_B",0.000280599943880011,0,"s11_11","WMS only"
"Capnocytophaga",0.00293269941346012,0.001540400030808,"s11_11","shared"
"Cardiobacterium",0.0025712994857401,0.0009768400195368,"s11_11","shared"
"Catenibacterium",0,0.0008077700161554,"s11_11","16S only"
"Catonella",7.34999853000029e-05,0,"s11_11","WMS only"
"Centipeda",0,0.0006950600139012,"s11_11","16S only"
"Cloacibacillus",0,3.75700007514e-05,"s11_11","16S only"
"Clostridium",0,0.0082843301656866,"s11_11","16S only"
"Clostridium_A",0,0.000187850003757,"s11_11","16S only"
"Clostridium_AN",0,0.005504100110082,"s11_11","16S only"
"Clostridium_Q",0,5.63600011272e-05,"s11_11","16S only"
"Coleofasciculus",0,3.75700007514e-05,"s11_11","16S only"
"Collinsella",0,0.002310600046212,"s11_11","16S only"
"Coprobacter",0,9.39300018786e-05,"s11_11","16S only"
"Coprococcus",0,0.0002442100048842,"s11_11","16S only"
"Corynebacterium",0.00836849832630034,0.0034940700698814,"s11_11","shared"
"Cryptobacteroides",0.000379499924100015,0,"s11_11","WMS only"
"Desulfomicrobium",0.00103239979352004,0,"s11_11","WMS only"
"Dialister",0.00174879965024007,0.001221050024421,"s11_11","shared"
"Duodenibacillus",0,0.0029117300582346,"s11_11","16S only"
"Eggerthella",0,0.0002254200045084,"s11_11","16S only"
"Eikenella",0.000135099972980005,0.0016155400323108,"s11_11","shared"
"Emergencia",0,0.0014464700289294,"s11_11","16S only"
"Enterocloster",0,0.0050344701006894,"s11_11","16S only"
"Erysipelatoclostridium",0,0.0003944900078898,"s11_11","16S only"
"Eubacterium_A",0,0.0008077700161554,"s11_11","16S only"
"Eubacterium_B",0.000189699962060008,0,"s11_11","WMS only"
"Eubacterium_F",0,0.0003381400067628,"s11_11","16S only"
"Eubacterium_G",0,0.0009956200199124,"s11_11","16S only"
"Eubacterium_M",0.00597799880440024,0.000507200010144,"s11_11","shared"
"Eubacterium_N",0,0.0004884200097684,"s11_11","16S only"
"Eubacterium_R",0,0.013130950262619,"s11_11","16S only"
"F0040",0,0.006593650131873,"s11_11","16S only"
"F0058",0.00555779888844022,0.0018973200379464,"s11_11","shared"
"F0422",0.000127799974440005,0.001089550021791,"s11_11","shared"
"Faecalibacterium",0,0.023068400461368,"s11_11","16S only"
"Filifactor",0.00547899890420022,0,"s11_11","WMS only"
"Formamonas",0,7.51400015028e-05,"s11_11","16S only"
"Fournierella",0,3.75700007514e-05,"s11_11","16S only"
"Fretibacterium",0.000841899831620034,0,"s11_11","WMS only"
"Fusicatenibacter",0,0.0043206300864126,"s11_11","16S only"
"Fusobacterium",0.0279421944115611,0.0300377606007552,"s11_11","shared"
"Fusobacterium_A",0,0.0032122900642458,"s11_11","16S only"
"Gemella",0.0137693972461206,0.0082467601649352,"s11_11","shared"
"Granulicatella",0.00719369856126029,0.0068002901360058,"s11_11","shared"
"Haemophilus",0,0.0011459100229182,"s11_11","16S only"
"Haemophilus_A",0.0424998915000217,0.021020800420416,"s11_11","shared"
"Haemophilus_D",0.117893876421225,0.0109142802182856,"s11_11","shared"
"Holdemanella",0,0.0015216100304322,"s11_11","16S only"
"Hornefia",0.00636509872698026,0,"s11_11","WMS only"
"HOT-345",0,0.0002066400041328,"s11_11","16S only"
"Hungatella",0,0.0003944900078898,"s11_11","16S only"
"Intestinimonas",0,0.0013525400270508,"s11_11","16S only"
"JABCPE02",0.000892899821420036,0,"s11_11","WMS only"
"JABZIP01",7.4499985100003e-05,0,"s11_11","WMS only"
"Johnsonella",0.00129109974178005,0.0003944900078898,"s11_11","shared"
"Kingella_A",0.00157699968460006,0,"s11_11","WMS only"
"Kingella_B",0.00113579977284005,0.0011459100229182,"s11_11","shared"
"Lachnoanaerobaculum",0,0.0011834800236696,"s11_11","16S only"
"Lachnospira",0,0.0123983202479664,"s11_11","16S only"
"Lacrimispora",0,0.0047151200943024,"s11_11","16S only"
"Lactobacillus",0,0.0279525905590518,"s11_11","16S only"
"Lancefieldella",0.000312099937580013,0.000450850009017,"s11_11","shared"
"Lautropia",0.050834089833182,0,"s11_11","WMS only"
"Lawsonibacter",0,0.0021415300428306,"s11_11","16S only"
"Leptotrichia",0.00433199913360017,0.0082843301656866,"s11_11","shared"
"Leptotrichia_A",0.000420599915880017,0.000450850009017,"s11_11","shared"
"Ligilactobacillus",0,0.0005447700108954,"s11_11","16S only"
"Limosilactobacillus",0,0.0012961900259238,"s11_11","16S only"
"Massilioclostridium",0,0.0002254200045084,"s11_11","16S only"
"Mediterraneibacter",0,0.0035692100713842,"s11_11","16S only"
"Megasphaera",0,0.0003005700060114,"s11_11","16S only"
"Mesocricetibacter",0.000139699972060006,0,"s11_11","WMS only"
"Mesomycoplasma",0,0.000187850003757,"s11_11","16S only"
"Mesosutterella",0,0.0007889800157796,"s11_11","16S only"
"Metamycoplasma",0.00412969917406017,0.0008829100176582,"s11_11","shared"
"Mogibacterium",0.00348739930252014,0.0002442100048842,"s11_11","shared"
"Moraxella",0,0.0045648400912968,"s11_11","16S only"
"Muricomes",0,0.000770200015404,"s11_11","16S only"
"MVZB01",0,3.75700007514e-05,"s11_11","16S only"
"Nanoperiomorbus",0.00175139964972007,0,"s11_11","WMS only"
"Nanosynbacter",0.00305379938924012,0,"s11_11","WMS only"
"Neisseria",0.272428845514231,0.141322112826442,"s11_11","shared"
"NSJ-38",0,0.0001502800030056,"s11_11","16S only"
"NSJ-50",0,3.75700007514e-05,"s11_11","16S only"
"NSJ-54",0,0.0007889800157796,"s11_11","16S only"
"Odoribacter",0,0.0009204800184096,"s11_11","16S only"
"Olsenella_E",0,0.0002254200045084,"s11_11","16S only"
"Oribacterium",0,0.0026675200533504,"s11_11","16S only"
"Oscillibacter",0,0.004170350083407,"s11_11","16S only"
"Ottowia",7.4399985120003e-05,0.0001127100022542,"s11_11","shared"
"Parabacteroides",0,0.0073450701469014,"s11_11","16S only"
"Paraeggerthella",0,9.39300018786e-05,"s11_11","16S only"
"Paraprevotella",0,0.0012961900259238,"s11_11","16S only"
"Parasutterella",0,0.0003569200071384,"s11_11","16S only"
"Parvimonas",0.00469239906152019,0.0013713300274266,"s11_11","shared"
"Pauljensenia",0.00165709966858007,0.0006574900131498,"s11_11","shared"
"Peptidiphaga",0.0024479995104001,0,"s11_11","WMS only"
"Peptoanaerobacter",0.000303699939260012,0.00013150000263,"s11_11","shared"
"Peptostreptococcus",0,0.0004320600086412,"s11_11","16S only"
"Phascolarctobacterium_A",0,0.011665700233314,"s11_11","16S only"
"Phocaeicola",0,0.0278962305579246,"s11_11","16S only"
"Planktophila",0,3.75700007514e-05,"s11_11","16S only"
"Porphyromonas",0.026152994769401,0.0270508905410178,"s11_11","shared"
"Prevotella",0.0228440954311809,0.0470760609415212,"s11_11","shared"
"Prevotellamassilia",0,0.0069693601393872,"s11_11","16S only"
"Pseudoleptotrichia",0.000233699953260009,0.0013901200278024,"s11_11","shared"
"RC9",0,0.0320102206402044,"s11_11","16S only"
"RF16",0,0.003268650065373,"s11_11","16S only"
"Romboutsia",0,0.0030432300608646,"s11_11","16S only"
"Roseburia",0,0.0077019901540398,"s11_11","16S only"
"Rothia",0.163779267244147,0.0945278318905566,"s11_11","shared"
"RQZE01",0,0.0003944900078898,"s11_11","16S only"
"RUG115",0,9.39300018786e-05,"s11_11","16S only"
"RUG13077",0,0.0004884200097684,"s11_11","16S only"
"RUG13160",0,0.000958050019161,"s11_11","16S only"
"Ruminococcus_A",0,0.0010519800210396,"s11_11","16S only"
"Ruminococcus_B",0,0.0117784102355682,"s11_11","16S only"
"Ruminococcus_C",0,0.0003944900078898,"s11_11","16S only"
"Ruminococcus_E",0,0.0010144100202882,"s11_11","16S only"
"Ruthenibacterium",0,0.0005447700108954,"s11_11","16S only"
"Saccharimonas",0.00132919973416005,0,"s11_11","WMS only"
"SDRW01",0.000591599881680024,0,"s11_11","WMS only"
"SFTJ01",0,0.0008829100176582,"s11_11","16S only"
"Soleaferrea",0,0.001089550021791,"s11_11","16S only"
"Sphingomicrobium",0,0.0001127100022542,"s11_11","16S only"
"Streptobacillus",0,0.000582350011647,"s11_11","16S only"
"Streptococcus",0.100644579871084,0.134953882699078,"s11_11","shared"
"Succinivibrio",0,0.0001127100022542,"s11_11","16S only"
"Sutterella",0,0.0024796600495932,"s11_11","16S only"
"Suttonella",0,7.51400015028e-05,"s11_11","16S only"
"Tannerella",0.0048916990216602,0.002047600040952,"s11_11","shared"
"Terrisporobacter",0,0.0047714800954296,"s11_11","16S only"
"Thermoanaerosceptrum",0,7.51400015028e-05,"s11_11","16S only"
"TM7x",0,0.000958050019161,"s11_11","16S only"
"Treponema",0.00297659940468012,0.0007138400142768,"s11_11","shared"
"Treponema_B",0.00123249975350005,0.0013901200278024,"s11_11","shared"
"Treponema_C",0.000905199818960036,0.0001127100022542,"s11_11","shared"
"Treponema_D",0,0.0005447700108954,"s11_11","16S only"
"UBA10281",0,7.51400015028e-05,"s11_11","16S only"
"UBA1103",0,0.000319350006387,"s11_11","16S only"
"UBA1394",0,0.0024420900488418,"s11_11","16S only"
"UBA1417",0,0.0004696300093926,"s11_11","16S only"
"UBA1436",0,5.63600011272e-05,"s11_11","16S only"
"UBA2730",0,0.0034377200687544,"s11_11","16S only"
"UBA4334",0,0.0009204800184096,"s11_11","16S only"
"UBA4372",0,0.0055604601112092,"s11_11","16S only"
"UBA5446",0,0.0061428101228562,"s11_11","16S only"
"UBA7173",0,0.0001502800030056,"s11_11","16S only"
"UBA8529",0,0.0008829100176582,"s11_11","16S only"
"UBA9502",0,0.0016155400323108,"s11_11","16S only"
"UMGS1004",0,0.000958050019161,"s11_11","16S only"
"UMGS1071",0,0.000187850003757,"s11_11","16S only"
"UMGS1872",0,0.0017846100356922,"s11_11","16S only"
"UMGS363",0,0.000826550016531,"s11_11","16S only"
"Vallitalea_A",0,0.0011271200225424,"s11_11","16S only"
"Veillonella",0.0140670971865806,0.0061803801236076,"s11_11","shared"
"VUNA01",0,5.63600011272e-05,"s11_11","16S only"
"W11650",2.74999945000011e-05,0,"s11_11","WMS only"
"W5053",0,0.0002442100048842,"s11_11","16S only"
"Wolinella",0,7.51400015028e-05,"s11_11","16S only"
"66-474",0,0.000403160036284403,"s11_12","16S only"
"Abiotrophia",0.000887231785613469,0.00262055023584952,"s11_12","shared"
"Abyssisolibacter",0,0.000483790043541104,"s11_12","16S only"
"Acetobacter",0,0.000241900021771002,"s11_12","16S only"
"Acidipila",0,0.000806320072568807,"s11_12","16S only"
"Acinetobacter",0,6.04700054423005e-05,"s11_12","16S only"
"Actinomyces",0.00363468786061051,0.00141106012699541,"s11_12","shared"
"Actinospica",0,0.000282210025398902,"s11_12","16S only"
"Aggregatibacter",0.0610139306938916,0.111453810030843,"s11_12","shared"
"Allisonella",0,0.000181420016327801,"s11_12","16S only"
"Alloprevotella",0.00499099261403389,0,"s11_12","WMS only"
"Aminipila",0,0.000503950045355504,"s11_12","16S only"
"Aminivibrio",0,0.00237865021407852,"s11_12","16S only"
"Anaeroglobus",0.000384015206359469,0.000302370027213302,"s11_12","shared"
"Ancrocorticia",0,0.000786160070754406,"s11_12","16S only"
"Anderseniella",0,6.04700054423005e-05,"s11_12","16S only"
"Arachnia",0.00574355797921638,0,"s11_12","WMS only"
"Aureibaculum",0,0.000322530029027703,"s11_12","16S only"
"Aureimonas_A",0,6.04700054423005e-05,"s11_12","16S only"
"Aureitalea",0,8.06300072567007e-05,"s11_12","16S only"
"Azospirillum",0,0.000282210025398902,"s11_12","16S only"
"Bacillus",0,0.000241900021771002,"s11_12","16S only"
"Bacteroides",0,8.06300072567007e-05,"s11_12","16S only"
"Bacteroides_D",0.00715860982880092,0,"s11_12","WMS only"
"Bergeyella_A",0.000543887645827113,0,"s11_12","WMS only"
"BOG-1460",0,4.03200036288003e-05,"s11_12","16S only"
"Bulleidia",0.00116269039205804,0.00147154013243861,"s11_12","shared"
"Butyrivibrio",0,0.000221740019956602,"s11_12","16S only"
"CACIUL01",0,6.04700054423005e-05,"s11_12","16S only"
"CAG-475",0,0.000120950010885501,"s11_12","16S only"
"CAITNO01",0,4.03200036288003e-05,"s11_12","16S only"
"CAIXZV01",0,0.000241900021771002,"s11_12","16S only"
"CAJPPJ01",5.63369588827568e-05,0,"s11_12","WMS only"
"CAJPSE01",0.00610106167551338,0,"s11_12","WMS only"
"Caldilinea",0,0.000181420016327801,"s11_12","16S only"
"Campylobacter_A",0.00792362756992185,0.012820511153846,"s11_12","shared"
"Campylobacter_B",0.00257272112231256,0,"s11_12","WMS only"
"Capnocytophaga",0.0257827448029155,0.00911143082002877,"s11_12","shared"
"Cardiobacterium",0.0141340492244429,0.0112885010159651,"s11_12","shared"
"Catonella",0.000764214362028126,0,"s11_12","WMS only"
"Caulobacter",0,0.000120950010885501,"s11_12","16S only"
"Cellvibrio",0,8.06300072567007e-05,"s11_12","16S only"
"Centipeda",0.00425047793524343,0.00227786020500742,"s11_12","shared"
"Clostridium_H",0,0.000100790009071101,"s11_12","16S only"
"Companilactobacillus",0,0.000383000034470003,"s11_12","16S only"
"Corynebacterium",0.00289367106988705,0.00209644018867962,"s11_12","shared"
"Cryptobacteroides",0.00093804551323321,0,"s11_12","WMS only"
"Cutibacterium",0.00101296061363702,0,"s11_12","WMS only"
"Desulfobulbus",0.000372466631900436,0.000322530029027703,"s11_12","shared"
"Desulfobulbus_A",0,0.000141110012699901,"s11_12","16S only"
